date,home_team,away_team,home_score,away_score,status
2025-01-12T11:30:00Z,Genoa CFC,Parma Calcio 1913,1,0,FINISHED
2025-01-12T14:00:00Z,Venezia FC,FC Internazionale Milano,0,1,FINISHED
2025-01-12T17:00:00Z,Bologna FC 1909,AS Roma,2,2,FINISHED
2025-01-12T19:45:00Z,SSC Napoli,Hellas Verona FC,2,0,FINISHED
2025-01-13T19:45:00Z,AC Monza,ACF Fiorentina,2,1,FINISHED
2025-01-14T17:30:00Z,Como 1907,AC Milan,1,2,FINISHED
2025-01-14T19:45:00Z,Atalanta BC,Juventus FC,1,1,FINISHED
2025-01-15T19:45:00Z,FC Internazionale Milano,Bologna FC 1909,2,2,FINISHED
2025-01-17T19:45:00Z,AS Roma,Genoa CFC,3,1,FINISHED
2025-01-18T14:00:00Z,Bologna FC 1909,AC Monza,3,1,FINISHED
2025-01-18T17:00:00Z,Juventus FC,AC Milan,2,0,FINISHED
2025-01-18T19:45:00Z,Atalanta BC,SSC Napoli,2,3,FINISHED
2025-01-19T11:30:00Z,ACF Fiorentina,Torino FC,1,1,FINISHED
2025-01-19T14:00:00Z,Cagliari Calcio,US Lecce,4,1,FINISHED
2025-01-19T14:00:00Z,Parma Calcio 1913,Venezia FC,1,1,FINISHED
2025-01-19T17:00:00Z,Hellas Verona FC,SS Lazio,0,3,FINISHED
2025-01-19T19:45:00Z,FC Internazionale Milano,Empoli FC,3,1,FINISHED
2025-01-20T19:45:00Z,Como 1907,Udinese Calcio,4,1,FINISHED
2025-01-24T19:45:00Z,Torino FC,Cagliari Calcio,2,0,FINISHED
2025-01-25T14:00:00Z,Como 1907,Atalanta BC,1,2,FINISHED
2025-01-25T17:00:00Z,SSC Napoli,Juventus FC,2,1,FINISHED
2025-01-25T19:45:00Z,Empoli FC,Bologna FC 1909,1,1,FINISHED
2025-01-26T11:30:00Z,AC Milan,Parma Calcio 1913,3,2,FINISHED
2025-01-26T14:00:00Z,Udinese Calcio,AS Roma,1,2,FINISHED
2025-01-26T17:00:00Z,US Lecce,FC Internazionale Milano,0,4,FINISHED
2025-01-26T19:45:00Z,SS Lazio,ACF Fiorentina,1,2,FINISHED
2025-01-27T17:30:00Z,Venezia FC,Hellas Verona FC,1,1,FINISHED
2025-01-27T19:45:00Z,Genoa CFC,AC Monza,2,0,FINISHED
2025-01-31T19:45:00Z,Parma Calcio 1913,US Lecce,1,3,FINISHED
2025-02-01T14:00:00Z,AC Monza,Hellas Verona FC,0,1,FINISHED
2025-02-01T14:00:00Z,Udinese Calcio,Venezia FC,3,2,FINISHED
2025-02-01T17:00:00Z,Atalanta BC,Torino FC,1,1,FINISHED
2025-02-01T19:45:00Z,Bologna FC 1909,Como 1907,2,0,FINISHED
2025-02-02T11:30:00Z,Juventus FC,Empoli FC,4,1,FINISHED
2025-02-02T14:00:00Z,ACF Fiorentina,Genoa CFC,2,1,FINISHED
2025-02-02T17:00:00Z,AC Milan,FC Internazionale Milano,1,1,FINISHED
2025-02-02T19:45:00Z,AS Roma,SSC Napoli,1,1,FINISHED
2025-02-03T19:45:00Z,Cagliari Calcio,SS Lazio,1,2,FINISHED
2025-02-06T19:45:00Z,ACF Fiorentina,FC Internazionale Milano,3,0,FINISHED
2025-02-07T19:45:00Z,Como 1907,Juventus FC,1,2,FINISHED
2025-02-08T14:00:00Z,Hellas Verona FC,Atalanta BC,0,5,FINISHED
2025-02-08T17:00:00Z,Empoli FC,AC Milan,0,2,FINISHED
2025-02-08T19:45:00Z,Torino FC,Genoa CFC,1,1,FINISHED
2025-02-09T11:30:00Z,Venezia FC,AS Roma,0,1,FINISHED
2025-02-09T14:00:00Z,Cagliari Calcio,Parma Calcio 1913,2,1,FINISHED
2025-02-09T14:00:00Z,SS Lazio,AC Monza,5,1,FINISHED
2025-02-09T17:00:00Z,US Lecce,Bologna FC 1909,0,0,FINISHED
2025-02-09T19:45:00Z,SSC Napoli,Udinese Calcio,1,1,FINISHED
2025-02-10T19:45:00Z,FC Internazionale Milano,ACF Fiorentina,2,1,FINISHED
2025-02-14T19:45:00Z,Bologna FC 1909,Torino FC,3,2,FINISHED
2025-02-15T14:00:00Z,Atalanta BC,Cagliari Calcio,0,0,FINISHED
2025-02-15T17:00:00Z,SS Lazio,SSC Napoli,2,2,FINISHED
2025-02-15T19:45:00Z,AC Milan,Hellas Verona FC,1,0,FINISHED
2025-02-16T11:30:00Z,ACF Fiorentina,Como 1907,0,2,FINISHED
2025-02-16T14:00:00Z,AC Monza,US Lecce,0,0,FINISHED
2025-02-16T14:00:00Z,Udinese Calcio,Empoli FC,3,0,FINISHED
2025-02-16T17:00:00Z,Parma Calcio 1913,AS Roma,0,1,FINISHED
2025-02-16T19:45:00Z,Juventus FC,FC Internazionale Milano,1,0,FINISHED
2025-02-17T19:45:00Z,Genoa CFC,Venezia FC,2,0,FINISHED
2025-02-21T19:45:00Z,US Lecce,Udinese Calcio,0,1,FINISHED
2025-02-22T14:00:00Z,Parma Calcio 1913,Bologna FC 1909,2,0,FINISHED
2025-02-22T14:00:00Z,Venezia FC,SS Lazio,0,0,FINISHED
2025-02-22T17:00:00Z,Torino FC,AC Milan,2,1,FINISHED
2025-02-22T19:45:00Z,FC Internazionale Milano,Genoa CFC,1,0,FINISHED
2025-02-23T11:30:00Z,Como 1907,SSC Napoli,2,1,FINISHED
2025-02-23T14:00:00Z,Hellas Verona FC,ACF Fiorentina,1,0,FINISHED
2025-02-23T17:00:00Z,Empoli FC,Atalanta BC,0,5,FINISHED
2025-02-23T19:45:00Z,Cagliari Calcio,Juventus FC,0,1,FINISHED
2025-02-24T19:45:00Z,AS Roma,AC Monza,4,0,FINISHED
2025-02-27T19:45:00Z,Bologna FC 1909,AC Milan,2,1,FINISHED
2025-02-28T19:45:00Z,ACF Fiorentina,US Lecce,1,0,FINISHED
2025-03-01T14:00:00Z,Atalanta BC,Venezia FC,0,0,FINISHED
2025-03-01T17:00:00Z,SSC Napoli,FC Internazionale Milano,1,1,FINISHED
2025-03-01T19:45:00Z,Udinese Calcio,Parma Calcio 1913,1,0,FINISHED
2025-03-02T11:30:00Z,AC Monza,Torino FC,0,2,FINISHED
2025-03-02T14:00:00Z,Bologna FC 1909,Cagliari Calcio,2,1,FINISHED
2025-03-02T14:00:00Z,Genoa CFC,Empoli FC,1,1,FINISHED
2025-03-02T17:00:00Z,AS Roma,Como 1907,2,1,FINISHED
2025-03-02T19:45:00Z,AC Milan,SS Lazio,1,2,FINISHED
2025-03-03T19:45:00Z,Juventus FC,Hellas Verona FC,2,0,FINISHED
2025-03-07T19:45:00Z,Cagliari Calcio,Genoa CFC,1,1,FINISHED
2025-03-08T14:00:00Z,Como 1907,Venezia FC,1,1,FINISHED
2025-03-08T14:00:00Z,Parma Calcio 1913,Torino FC,2,2,FINISHED
2025-03-08T17:00:00Z,US Lecce,AC Milan,2,3,FINISHED
2025-03-08T19:45:00Z,FC Internazionale Milano,AC Monza,3,2,FINISHED
2025-03-09T11:30:00Z,Hellas Verona FC,Bologna FC 1909,1,2,FINISHED
2025-03-09T14:00:00Z,SSC Napoli,ACF Fiorentina,2,1,FINISHED
2025-03-09T17:00:00Z,Empoli FC,AS Roma,0,1,FINISHED
2025-03-09T19:45:00Z,Juventus FC,Atalanta BC,0,4,FINISHED
2025-03-10T19:45:00Z,SS Lazio,Udinese Calcio,1,1,FINISHED
2025-03-14T19:45:00Z,Genoa CFC,US Lecce,2,1,FINISHED
2025-03-15T14:00:00Z,AC Monza,Parma Calcio 1913,1,1,FINISHED
2025-03-15T14:00:00Z,Udinese Calcio,Hellas Verona FC,0,1,FINISHED
2025-03-15T17:00:00Z,AC Milan,Como 1907,2,1,FINISHED
2025-03-15T19:45:00Z,Torino FC,Empoli FC,1,0,FINISHED
2025-03-16T11:30:00Z,Venezia FC,SSC Napoli,0,0,FINISHED
2025-03-16T14:00:00Z,Bologna FC 1909,SS Lazio,5,0,FINISHED
2025-03-16T15:00:00Z,AS Roma,Cagliari Calcio,1,0,FINISHED
2025-03-16T17:00:00Z,ACF Fiorentina,Juventus FC,3,0,FINISHED
2025-03-16T19:45:00Z,Atalanta BC,FC Internazionale Milano,0,2,FINISHED
2025-03-29T14:00:00Z,Como 1907,Empoli FC,1,1,FINISHED
2025-03-29T14:00:00Z,Venezia FC,Bologna FC 1909,0,1,FINISHED
2025-03-29T17:00:00Z,Juventus FC,Genoa CFC,1,0,FINISHED
2025-03-29T19:45:00Z,US Lecce,AS Roma,0,1,FINISHED
2025-03-30T10:30:00Z,Cagliari Calcio,AC Monza,3,0,FINISHED
2025-03-30T13:00:00Z,ACF Fiorentina,Atalanta BC,1,0,FINISHED
2025-03-30T16:00:00Z,FC Internazionale Milano,Udinese Calcio,2,1,FINISHED
2025-03-30T18:45:00Z,SSC Napoli,AC Milan,2,1,FINISHED
2025-03-31T16:30:00Z,Hellas Verona FC,Parma Calcio 1913,0,0,FINISHED
2025-03-31T18:45:00Z,SS Lazio,Torino FC,1,1,FINISHED
2025-04-04T18:45:00Z,Genoa CFC,Udinese Calcio,1,0,FINISHED
2025-04-05T13:00:00Z,AC Monza,Como 1907,1,3,FINISHED
2025-04-05T16:00:00Z,Parma Calcio 1913,FC Internazionale Milano,2,2,FINISHED
2025-04-05T18:45:00Z,AC Milan,ACF Fiorentina,2,2,FINISHED
2025-04-06T10:30:00Z,US Lecce,Venezia FC,1,1,FINISHED
2025-04-06T13:00:00Z,Empoli FC,Cagliari Calcio,0,0,FINISHED
2025-04-06T13:00:00Z,Torino FC,Hellas Verona FC,1,1,FINISHED
2025-04-06T16:00:00Z,Atalanta BC,SS Lazio,0,1,FINISHED
2025-04-06T18:45:00Z,AS Roma,Juventus FC,1,1,FINISHED
2025-04-07T18:45:00Z,Bologna FC 1909,SSC Napoli,1,1,FINISHED
2025-04-11T18:45:00Z,Udinese Calcio,AC Milan,0,4,FINISHED
2025-04-12T13:00:00Z,Venezia FC,AC Monza,1,0,FINISHED
2025-04-12T16:00:00Z,FC Internazionale Milano,Cagliari Calcio,3,1,FINISHED
2025-04-12T18:45:00Z,Juventus FC,US Lecce,2,1,FINISHED
2025-04-13T10:30:00Z,Atalanta BC,Bologna FC 1909,2,0,FINISHED
2025-04-13T13:00:00Z,ACF Fiorentina,Parma Calcio 1913,0,0,FINISHED
2025-04-13T13:00:00Z,Hellas Verona FC,Genoa CFC,0,0,FINISHED
2025-04-13T16:00:00Z,Como 1907,Torino FC,1,0,FINISHED
2025-04-13T18:45:00Z,SS Lazio,AS Roma,1,1,FINISHED
2025-04-14T18:45:00Z,SSC Napoli,Empoli FC,3,0,FINISHED
2025-04-19T13:00:00Z,US Lecce,Como 1907,0,3,FINISHED
2025-04-19T16:00:00Z,AC Monza,SSC Napoli,0,1,FINISHED
2025-04-19T18:45:00Z,AS Roma,Hellas Verona FC,1,0,FINISHED
2025-04-20T13:00:00Z,Empoli FC,Venezia FC,2,2,FINISHED
2025-04-20T16:00:00Z,Bologna FC 1909,FC Internazionale Milano,1,0,FINISHED
2025-04-20T18:45:00Z,AC Milan,Atalanta BC,0,1,FINISHED
2025-04-23T16:30:00Z,Cagliari Calcio,ACF Fiorentina,1,2,FINISHED
2025-04-23T16:30:00Z,Genoa CFC,SS Lazio,0,2,FINISHED
2025-04-23T16:30:00Z,Parma Calcio 1913,Juventus FC,1,0,FINISHED
2025-04-23T16:30:00Z,Torino FC,Udinese Calcio,2,0,FINISHED
2025-04-27T10:30:00Z,Como 1907,Genoa CFC,1,0,FINISHED
2025-04-27T10:30:00Z,Venezia FC,AC Milan,0,2,FINISHED
2025-04-27T13:00:00Z,ACF Fiorentina,Empoli FC,2,1,FINISHED
2025-04-27T13:00:00Z,FC Internazionale Milano,AS Roma,0,1,FINISHED
2025-04-27T16:00:00Z,Juventus FC,AC Monza,2,0,FINISHED
2025-04-27T18:45:00Z,Atalanta BC,US Lecce,1,1,FINISHED
2025-04-27T18:45:00Z,SSC Napoli,Torino FC,2,0,FINISHED
2025-04-28T16:30:00Z,Udinese Calcio,Bologna FC 1909,0,0,FINISHED
2025-04-28T18:45:00Z,Hellas Verona FC,Cagliari Calcio,0,2,FINISHED
2025-04-28T18:45:00Z,SS Lazio,Parma Calcio 1913,2,2,FINISHED
2025-05-02T18:45:00Z,Torino FC,Venezia FC,1,1,FINISHED
2025-05-03T13:00:00Z,Cagliari Calcio,Udinese Calcio,1,2,FINISHED
2025-05-03T13:00:00Z,Parma Calcio 1913,Como 1907,0,1,FINISHED
2025-05-03T16:00:00Z,US Lecce,SSC Napoli,0,1,FINISHED
2025-05-03T18:45:00Z,FC Internazionale Milano,Hellas Verona FC,1,0,FINISHED
2025-05-04T10:30:00Z,Empoli FC,SS Lazio,0,1,FINISHED
2025-05-04T13:00:00Z,AC Monza,Atalanta BC,0,4,FINISHED
2025-05-04T16:00:00Z,AS Roma,ACF Fiorentina,1,0,FINISHED
2025-05-04T18:45:00Z,Bologna FC 1909,Juventus FC,1,1,FINISHED
2025-05-05T18:45:00Z,Genoa CFC,AC Milan,1,2,FINISHED
2025-05-09T18:45:00Z,AC Milan,Bologna FC 1909,3,1,FINISHED
2025-05-10T13:00:00Z,Como 1907,Cagliari Calcio,3,1,FINISHED
2025-05-10T16:00:00Z,SS Lazio,Juventus FC,1,1,FINISHED
2025-05-10T18:45:00Z,Empoli FC,Parma Calcio 1913,2,1,FINISHED
2025-05-11T10:30:00Z,Udinese Calcio,AC Monza,1,2,FINISHED
2025-05-11T13:00:00Z,Hellas Verona FC,US Lecce,1,1,FINISHED
2025-05-11T16:00:00Z,Torino FC,FC Internazionale Milano,0,2,FINISHED
2025-05-11T18:45:00Z,SSC Napoli,Genoa CFC,2,2,FINISHED
2025-05-12T16:30:00Z,Venezia FC,ACF Fiorentina,2,1,FINISHED
2025-05-12T18:45:00Z,Atalanta BC,AS Roma,2,1,FINISHED
2025-05-17T18:45:00Z,Genoa CFC,Atalanta BC,2,3,FINISHED
2025-05-18T18:45:00Z,Cagliari Calcio,Venezia FC,3,0,FINISHED
2025-05-18T18:45:00Z,ACF Fiorentina,Bologna FC 1909,3,2,FINISHED
2025-05-18T18:45:00Z,Hellas Verona FC,Como 1907,1,1,FINISHED
2025-05-18T18:45:00Z,FC Internazionale Milano,SS Lazio,2,2,FINISHED
2025-05-18T18:45:00Z,Juventus FC,Udinese Calcio,2,0,FINISHED
2025-05-18T18:45:00Z,US Lecce,Torino FC,1,0,FINISHED
2025-05-18T18:45:00Z,AC Monza,Empoli FC,1,3,FINISHED
2025-05-18T18:45:00Z,Parma Calcio 1913,SSC Napoli,0,0,FINISHED
2025-05-18T18:45:00Z,AS Roma,AC Milan,3,1,FINISHED
2025-05-23T18:45:00Z,Como 1907,FC Internazionale Milano,0,2,FINISHED
2025-05-23T18:45:00Z,SSC Napoli,Cagliari Calcio,2,0,FINISHED
2025-05-24T16:00:00Z,Bologna FC 1909,Genoa CFC,1,3,FINISHED
2025-05-24T18:45:00Z,AC Milan,AC Monza,2,0,FINISHED
2025-05-25T18:45:00Z,Atalanta BC,Parma Calcio 1913,2,3,FINISHED
2025-05-25T18:45:00Z,Empoli FC,Hellas Verona FC,1,2,FINISHED
2025-05-25T18:45:00Z,SS Lazio,US Lecce,0,1,FINISHED
2025-05-25T18:45:00Z,Torino FC,AS Roma,0,2,FINISHED
2025-05-25T18:45:00Z,Udinese Calcio,ACF Fiorentina,2,3,FINISHED
2025-05-25T18:45:00Z,Venezia FC,Juventus FC,2,3,FINISHED
